SITE,TRANSECT,DEPTH_MLLW_M,SD_DEPTH,CV_DEPTH,LATITUDE,LONGITUDE,SITE_NAME
ABUR,1,6.9,0.3,3.8,34.400117,-119.744383,Arroyo Burro
ABUR,2,5.4,0.2,3.4,34.400433,-119.7448,Arroyo Burro
AHND,1,6.7,0.2,3.5,34.471867,-120.144383,Arroyo Hondo
AHND,2,6.7,0.1,1.9,34.471767,-120.14085,Arroyo Hondo
AQUE,1,5.9,0.1,1.3,34.468783,-120.121417,Arroyo Quemado
AQUE,2,6,0.2,3.1,34.468733,-120.120783,Arroyo Quemado
AQUE,3,8.5,0.2,1.9,34.467917,-120.11925,Arroyo Quemado
AQUE,4,7.1,0.3,3.6,34.467467,-120.117183,Arroyo Quemado
AQUE,5,9.2,0.3,3,34.46685,-120.11735,Arroyo Quemado
AQUE,6,10.6,0.2,1.6,34.46755,-120.12085,Arroyo Quemado
BULL,1,5.1,0.6,10.9,34.458883,-120.333433,Bulito
BULL,3,6.1,0.2,3.6,34.458483,-120.333483,Bulito
BULL,6,6.9,0.2,3.6,34.45815,-120.33355,Bulito
CARP,1,2.5,0.4,14.7,34.392417,-119.5438,Carpinteria
CARP,2,2.9,0.1,4.9,34.392767,-119.540367,Carpinteria
CARP,3,6.2,0.4,6.9,34.391517,-119.544,Carpinteria
CARP,4,4.2,0.5,12,34.391733,-119.541633,Carpinteria
CARP,5,3.7,0.4,10.6,34.391817,-119.539317,Carpinteria
CARP,6,6.5,0.3,4.7,34.391117,-119.544133,Carpinteria
CARP,7,6.3,0.4,6.1,34.391233,-119.541833,Carpinteria
CARP,8,4.4,0.2,4.5,34.39145,-119.539517,Carpinteria
GOLB,1,5.2,0.1,2.6,34.413783,-119.8224,Goleta Bay
GOLB,2,4.9,0.2,3.6,34.41365,-119.8218,Goleta Bay
IVEE,1,8.6,0.1,1.3,34.402833,-119.857867,Isla Vista
IVEE,2,9.2,0.2,2,34.402733,-119.857233,Isla Vista
MOHK,1,5.2,0.4,7.8,34.394333,-119.73,Mohawk
MOHK,2,5.9,0.2,4,34.39415,-119.729367,Mohawk
NAPL,1,7.7,0.8,10.1,34.422333,-119.952933,Naples
NAPL,2,7,0.4,6.1,34.422467,-119.952317,Naples
NAPL,3,6.6,0.4,6.1,34.422433,-119.9517,Naples
NAPL,4,9.7,0.1,1,34.42225,-119.952033,Naples
NAPL,5,10.1,0.7,6.7,34.421883,-119.951283,Naples
NAPL,6,11,1.8,16.6,34.42195,-119.950633,Naples
NAPL,7,9.7,1.4,14.9,34.421817,-119.951867,Naples
NAPL,8,10.5,2.2,21.2,34.421633,-119.951517,Naples
SCDI,2,9.7,1.4,14.9,34.058633,-119.757633,Diablo
SCDI,3,13.4,1,7.2,34.062633,-119.757633,Diablo
SCTW,2,5.7,1.1,18.6,34.0444,-119.715133,Twin Harbors West
SCTW,3,10.7,0.9,8.7,34.0494,-119.715133,Twin Harbors West
